zipcode,borough,incident_response_seconds_qy,incident_response_min_qy
11231,BROOKLYN,419.97836166924264,7.0
11232,BROOKLYN,359.9736842105263,6.0
11233,BROOKLYN,472.47699530516434,7.87
11234,BROOKLYN,487.1397637795276,8.12
11235,BROOKLYN,437.7878787878788,7.3
11236,BROOKLYN,452.95560407569144,7.55
11237,BROOKLYN,407.02567237163817,6.78
11237,QUEENS,421.1666666666667,7.02
11238,BROOKLYN,437.67988394584137,7.29
11239,BROOKLYN,517.5888888888888,8.63
11241,BROOKLYN,617.5,10.29
11242,BROOKLYN,419.5,6.99
11249,BROOKLYN,437.48175182481754,7.29
11354,QUEENS,455.31558935361215,7.59
11355,QUEENS,430.9707750952986,7.18
11356,QUEENS,597.7486033519554,9.96
11357,QUEENS,501.8311345646438,8.36
11358,QUEENS,411.17110266159693,6.85
11359,QUEENS,115.8,1.93
11360,QUEENS,576.1188118811881,9.6
11361,QUEENS,534.5137254901961,8.91
11362,QUEENS,489.3904109589041,8.16
11363,QUEENS,541.0571428571428,9.02
11364,QUEENS,504.02967359050444,8.4
11365,QUEENS,472.5592417061611,7.88
11366,QUEENS,393.80428134556576,6.56
11367,QUEENS,499.9621212121212,8.33
11368,QUEENS,456.6307251908397,7.61
11369,QUEENS,511.9384164222874,8.53
11370,QUEENS,578.1019757807521,9.64
11372,QUEENS,443.95848161328587,7.4
11373,QUEENS,407.95152091254755,6.8
11374,QUEENS,442.18197573656846,7.37
11375,QUEENS,495.1470588235294,8.25
11377,QUEENS,438.02408376963353,7.3
11378,QUEENS,448.14714714714717,7.47
11379,QUEENS,438.48477157360406,7.31
11385,BROOKLYN,182.0,3.03
11385,QUEENS,434.24362357080037,7.24
11411,QUEENS,432.52255639097746,7.21
11412,QUEENS,441.0649122807018,7.35
11413,QUEENS,407.69565217391306,6.79
11414,QUEENS,534.4407294832827,8.91
11415,QUEENS,523.9342560553633,8.73
11416,QUEENS,447.4711246200608,7.46
11417,QUEENS,454.4855072463768,7.57
11418,QUEENS,469.21572212065814,7.82
11419,QUEENS,469.3085787451985,7.82
11420,QUEENS,499.81049562682216,8.33
11421,QUEENS,478.7276995305164,7.98
11422,QUEENS,474.83383685800607,7.91
11423,QUEENS,516.6268041237114,8.61
11426,QUEENS,431.48945147679325,7.19
11427,QUEENS,418.23396226415093,6.97
11428,QUEENS,423.8950819672131,7.06
11429,QUEENS,408.5122494432071,6.81
11430,QUEENS,548.9592198581561,9.15
11432,QUEENS,448.3175542406312,7.47
11433,QUEENS,466.43640350877195,7.77
11434,QUEENS,459.51359084406295,7.66
11435,QUEENS,494.89495798319325,8.25
11436,QUEENS,474.2386363636364,7.9
11691,QUEENS,350.3688212927757,5.84
11692,QUEENS,382.625,6.38
11693,QUEENS,391.67910447761193,6.53
11694,QUEENS,337.06887052341597,5.62
11695,QUEENS,287.0,4.78
11697,QUEENS,752.2758620689655,12.54
